call-id,user,start,end,media-id
8808a19c-dd96-462a-9001-6b94ea5df947,dave911,2017-05-31T12:06:00.000Z,2017-05-31T13:06:00.000Z,dac829e6-b6f9-40ea-8f50-649b99f98865
4f3535b2-ebef-4f36-90a3-ff646b1d822b,dave072,2017-12-16T13:19:00.000Z,2017-12-16T14:29:00.000Z,5721221d-370a-4207-a1ba-7fe6fb975e0a
493abc93-e425-4d53-82a7-aa00710cf5fb,alice753,2017-03-16T22:41:00.000Z,2017-03-16T23:58:00.000Z,b58e620d-a7c5-4485-b73b-e9a60d5cb745
493abc93-e425-4d53-82a7-aa00710cf5fb,dave072,2017-03-16T22:40:00.000Z,2017-03-16T23:56:00.000Z,2f3e4039-4206-4efb-b76d-5ce244bf1400
185b6b3e-f9f2-48ef-bf66-60bba69d1f4a,alice753,2017-08-05T12:14:00.000Z,2017-08-05T13:00:00.000Z,c506ae7e-c5eb-41e4-b593-e49be48561b4
4f3535b2-ebef-4f36-90a3-ff646b1d822b,eve417,2017-12-16T13:19:00.000Z,2017-12-16T14:29:00.000Z,d7ae9847-dea9-4301-92db-529568daece4
493abc93-e425-4d53-82a7-aa00710cf5fb,dave911,2017-03-16T22:41:00.000Z,2017-03-16T23:59:00.000Z,028a1d40-3866-4336-8e72-7426cc12d75a
493abc93-e425-4d53-82a7-aa00710cf5fb,eve417,2017-03-16T22:39:00.000Z,2017-03-16T23:55:00.000Z,059c4d79-a44d-48fe-8ca4-e565b7361f52
185b6b3e-f9f2-48ef-bf66-60bba69d1f4a,eve386,2017-08-05T12:14:00.000Z,2017-08-05T13:00:00.000Z,9c6ec113-09b9-4a9b-a457-b98dfa33cb5b
8808a19c-dd96-462a-9001-6b94ea5df947,eve386,2017-05-31T12:07:00.000Z,2017-05-31T13:05:00.000Z,4973f75f-a6e5-4d36-b78d-911700d5184b
493abc93-e425-4d53-82a7-aa00710cf5fb,eve386,2017-03-16T22:39:00.000Z,2017-03-16T23:57:00.000Z,f3d6b8e7-7e0b-49e2-ad20-a40e1198e0f3
